name,brand,year,fuel,price
R 80 GS   (1986-1992),BMW,1988,2,9631
F 650   (1984-1996),BMW,1989,2,4577
K 1   (1989-1994),BMW,1989,2,2474
K 100   (1983-1994),BMW,1989,2,1828
K 100 LT   (1986-1994),BMW,1989,2,2587
K 100 RS   (1984-1994),BMW,1989,2,2382
K 100 RS ABS   (1988-1993),BMW,1989,2,7989
K 100 RS Baviera   (1989),BMW,1989,2,9617
K 100 RT   (1984-1993),BMW,1989,2,6803
K 75   (1984-1996),BMW,1989,2,1633
K 75 C   (1988-1989),BMW,1989,2,2718
K 75 RT   (1986-1994),BMW,1989,2,3722
K 75 S   (1987-1996),BMW,1989,2,4853
K 750   (1986-1999),BMW,1989,2,8367
R 100 GS   (1988-1993),BMW,1989,2,7106
R 100 GS PARIS DAKAR   (1989-1995),BMW,1989,2,9190
R 100 RS   (1987-1995),BMW,1989,2,5649
R 100 RT   (1978-1996),BMW,1989,2,7198
R 80 GS   (1986-1992),BMW,1989,2,7042
F 650   (1984-1996),BMW,1990,2,6101
K 1   (1989-1994),BMW,1990,2,1530
K 100   (1983-1994),BMW,1990,2,5876
K 100 LT   (1986-1994),BMW,1990,2,5244
K 100 LT ABS   (1990-1992),BMW,1990,2,9752
K 100 RS   (1984-1994),BMW,1990,2,6472
K 100 RS ABS   (1988-1993),BMW,1990,2,1721
K 100 RT   (1984-1993),BMW,1990,2,9546
K 75   (1984-1996),BMW,1990,2,3085
K 75 RT   (1986-1994),BMW,1990,2,2983
K 75 S   (1987-1996),BMW,1990,2,10058
K 750   (1986-1999),BMW,1990,2,4099
R 100 GS   (1988-1993),BMW,1990,2,2663
R 100 GS PARIS DAKAR   (1989-1995),BMW,1990,2,9759
R 100 RS   (1987-1995),BMW,1990,2,4028
R 100 RT   (1978-1996),BMW,1990,2,7514
R 80 GS   (1986-1992),BMW,1990,2,8352
F 650   (1984-1996),BMW,1991,2,4582
K 1   (1989-1994),BMW,1991,2,6434
K 100   (1983-1994),BMW,1991,2,8355
K 100 Baviera   (1991),BMW,1991,2,10456
K 100 LT   (1986-1994),BMW,1991,2,8884
K 100 LT ABS   (1990-1992),BMW,1991,2,4305
K 100 LT Limited Edition   (1991-1994),BMW,1991,2,4701
K 100 RS   (1984-1994),BMW,1991,2,10512
K 100 RS ABS   (1988-1993),BMW,1991,2,9419
K 100 RT   (1984-1993),BMW,1991,2,8919
K 75   (1984-1996),BMW,1991,2,5306
K 75 RT   (1986-1994),BMW,1991,2,7883
K 75 S   (1987-1996),BMW,1991,2,7328
K 75 S ABS   (1991-1994),BMW,1991,2,6344
K 750   (1986-1999),BMW,1991,2,3643
R 100 GS   (1988-1993),BMW,1991,2,10915
R 100 GS PARIS DAKAR   (1989-1995),BMW,1991,2,7799
R 100 RS   (1987-1995),BMW,1991,2,8855
R 100 RT   (1978-1996),BMW,1991,2,10182
R 80 GS   (1986-1992),BMW,1991,2,3033
F 650   (1984-1996),BMW,1992,2,2436
K 1   (1989-1994),BMW,1992,2,5198
K 100   (1983-1994),BMW,1992,2,9826
K 100 LT   (1986-1994),BMW,1992,2,3954
K 100 LT ABS   (1990-1992),BMW,1992,2,10254
K 100 LT Limited Edition   (1991-1994),BMW,1992,2,5147
K 100 RS   (1984-1994),BMW,1992,2,6706
K 100 RS ABS   (1988-1993),BMW,1992,2,4683
K 100 RT   (1984-1993),BMW,1992,2,2009
K 75   (1984-1996),BMW,1992,2,1595
K 75 Metropolitan   (1992-1993),BMW,1992,2,10008
K 75 Metropolitan ABS   (1992-1995),BMW,1992,2,4390
K 75 RT   (1986-1994),BMW,1992,2,4972
K 75 RT ABS   (1992-1993),BMW,1992,2,4441
K 75 S   (1987-1996),BMW,1992,2,5664
K 75 S ABS   (1991-1994),BMW,1992,2,2866
K 750   (1986-1999),BMW,1992,2,3422
R 100 GS   (1988-1993),BMW,1992,2,10874
R 100 GS PARIS DAKAR   (1989-1995),BMW,1992,2,4853
R 100 R   (1992-1999),BMW,1992,2,6630
R 100 RS   (1987-1995),BMW,1992,2,7507
R 100 RT   (1978-1996),BMW,1992,2,10527
R 1100 RT   (1992-1996),BMW,1992,2,4140
R 80 GS   (1986-1992),BMW,1992,2,2585
R 80 R   (1992-1996),BMW,1992,2,8876
R 80 RT   (1992),BMW,1992,2,3124
F 650   (1984-1996),BMW,1993,2,6823
F 650 ST   (1993),BMW,1993,2,8342
K 1   (1989-1994),BMW,1993,2,2878
K 100   (1983-1994),BMW,1993,2,4224
K 100 LT   (1986-1994),BMW,1993,2,7636
K 100 LT Limited Edition   (1991-1994),BMW,1993,2,3327
K 100 RS   (1984-1994),BMW,1993,2,4856
K 100 RS ABS   (1988-1993),BMW,1993,2,2833
K 100 RT   (1984-1993),BMW,1993,2,9000
K 1100 RS   (1993-1998),BMW,1993,2,4666
K 75   (1984-1996),BMW,1993,2,10735
K 75 Metropolitan   (1992-1993),BMW,1993,2,5457
K 75 Metropolitan ABS   (1992-1995),BMW,1993,2,4031
K 75 RT   (1986-1994),BMW,1993,2,8512
K 75 RT ABS   (1992-1993),BMW,1993,2,6883
K 75 S   (1987-1996),BMW,1993,2,2485
K 75 S ABS   (1991-1994),BMW,1993,2,4114
K 750   (1986-1999),BMW,1993,2,5171
R 100 GS   (1988-1993),BMW,1993,2,4100
R 100 GS PARIS DAKAR   (1989-1995),BMW,1993,2,4526
R 100 R   (1992-1999),BMW,1993,2,1759
R 100 RS   (1987-1995),BMW,1993,2,4677
R 100 RT   (1978-1996),BMW,1993,2,2202
R 1100 GS   (1993-1996),BMW,1993,2,4907
R 1100 RS   (1993-1995),BMW,1993,2,5151
R 1100 RS   (1993-1996),BMW,1993,2,7096
R 1100 RT   (1992-1996),BMW,1993,2,4848
R 80 R   (1992-1996),BMW,1993,2,8758
F 650   (1984-1996),BMW,1994,2,5130
K 1   (1989-1994),BMW,1994,2,6632
K 100   (1983-1994),BMW,1994,2,5668
K 100 LT   (1986-1994),BMW,1994,2,9500
K 100 LT Limited Edition   (1991-1994),BMW,1994,2,2862
K 100 RS   (1984-1994),BMW,1994,2,7234
K 1100 LT SE   (1994-1996),BMW,1994,2,8538
K 1100 RS   (1993-1998),BMW,1994,2,1715
K 75   (1984-1996),BMW,1994,2,9509
K 75 ABS   (1994-1996),BMW,1994,2,9484
K 75 Metropolitan ABS   (1992-1995),BMW,1994,2,5220
K 75 RT   (1986-1994),BMW,1994,2,7573
K 75 S   (1987-1996),BMW,1994,2,5396
K 75 S ABS   (1991-1994),BMW,1994,2,9704
K 750   (1986-1999),BMW,1994,2,3428
R 100 GS PARIS DAKAR   (1989-1995),BMW,1994,2,3057
R 100 R   (1992-1999),BMW,1994,2,7456
R 100 R Mystic   (1994-1996),BMW,1994,2,9319
R 100 RS   (1987-1995),BMW,1994,2,4076
R 100 RT   (1978-1996),BMW,1994,2,6567
R 1100 GS   (1993-1996),BMW,1994,2,9624
R 1100 RS   (1993-1995),BMW,1994,2,5629
R 1100 RS   (1993-1996),BMW,1994,2,1570
R 1100 RT   (1992-1996),BMW,1994,2,4375
R 1150 RS   (1994),BMW,1994,2,3061
R 80 R   (1992-1996),BMW,1994,2,1957
F 650   (1984-1996),BMW,1995,2,4478
K 1100 LT SE   (1994-1996),BMW,1995,2,9230
K 1100 RS   (1993-1998),BMW,1995,2,6935
K 75   (1984-1996),BMW,1995,2,6588
K 75 ABS   (1994-1996),BMW,1995,2,4692
K 75 LT   (1995),BMW,1995,2,2406
K 75 Metropolitan ABS   (1992-1995),BMW,1995,2,2434
K 75 S   (1987-1996),BMW,1995,2,3061
K 750   (1986-1999),BMW,1995,2,9657
R 100 GS PARIS DAKAR   (1989-1995),BMW,1995,2,7115
R 100 R   (1992-1999),BMW,1995,2,6976
R 100 R Mystic   (1994-1996),BMW,1995,2,7476
R 100 RS   (1987-1995),BMW,1995,2,3715
R 100 RT   (1978-1996),BMW,1995,2,3023
R 1100 GS   (1993-1996),BMW,1995,2,7287
R 1100 RS   (1993-1995),BMW,1995,2,6983
R 1100 RS   (1993-1996),BMW,1995,2,5996
R 1100 RS   (1995-1997),BMW,1995,2,9264
R 1100 RT   (1992-1996),BMW,1995,2,7877
R 80 R   (1992-1996),BMW,1995,2,5695
R 850   (1995),BMW,1995,2,2171
F 650   (1984-1996),BMW,1996,2,9698
F 650 G   (1996),BMW,1996,2,5137
K 1100 LT SE   (1994-1996),BMW,1996,2,5040
K 1100 RS   (1993-1998),BMW,1996,2,5774
K 75   (1984-1996),BMW,1996,2,1954
K 75 ABS   (1994-1996),BMW,1996,2,3027
K 75 S   (1987-1996),BMW,1996,2,9859
K 750   (1986-1999),BMW,1996,2,2534
R 100 GS PARIS DAKAR Classic   (1996-1998),BMW,1996,2,2321
R 100 R   (1992-1999),BMW,1996,2,4434
R 100 R Mystic   (1994-1996),BMW,1996,2,4020
R 100 RT   (1978-1996),BMW,1996,2,2815
R 1100 GS   (1993-1996),BMW,1996,2,8604
R 1100 RS   (1993-1996),BMW,1996,2,7878
R 1100 RS   (1995-1997),BMW,1996,2,6941
R 1100 RT   (1992-1996),BMW,1996,2,4972
R 1100 RT   (1996-2002),BMW,1996,2,3287
R 80 R   (1992-1996),BMW,1996,2,1900
R 850 R   (1996),BMW,1996,2,1965
F 650   (1997-2008),BMW,1997,2,2317
F 650 FL   (1997-2008),BMW,1997,2,7178
F 650 ST   (1997-2001),BMW,1997,2,10128
K 1100 LT   (1997-1999),BMW,1997,2,8008
K 1100 LT High Line   (1997-1999),BMW,1997,2,7851
K 1100 LT Sidecar   (1997-1999),BMW,1997,2,4677
K 1100 RS   (1993-1998),BMW,1997,2,9957
K 750   (1986-1999),BMW,1997,2,5368
R 100 GS PARIS DAKAR Classic   (1996-1998),BMW,1997,2,1708
R 100 R   (1992-1999),BMW,1997,2,9343
R 1100 GS   (1997-1999),BMW,1997,2,6406
R 1100 R   (1997-2008),BMW,1997,2,8434
R 1100 RS   (1995-1997),BMW,1997,2,5957
R 1100 RS   (1997-2008),BMW,1997,2,9107
R 1100 RT   (1996-2002),BMW,1997,2,2452
R 1200 C Independent   (1997-2000),BMW,1997,2,10637
R 1200 RT   (1997-2004),BMW,1997,2,4417
R 1200 S   (1997-2006),BMW,1997,2,2119
R 850 R   (1997-2002),BMW,1997,2,4749
F 650   (1997-2008),BMW,1998,2,4644
F 650 FL   (1997-2008),BMW,1998,2,8283
F 650 ST   (1997-2001),BMW,1998,2,7432
K 1100 LT   (1997-1999),BMW,1998,2,6335
K 1100 LT High Line   (1997-1999),BMW,1998,2,2732
K 1100 LT Sidecar   (1997-1999),BMW,1998,2,7083
K 1100 RS   (1993-1998),BMW,1998,2,7375
K 750   (1986-1999),BMW,1998,2,4331
R 100 GS PARIS DAKAR Classic   (1996-1998),BMW,1998,2,4149
R 100 R   (1992-1999),BMW,1998,2,9461
R 1100 GS   (1997-1999),BMW,1998,2,3472
R 1100 R   (1997-2008),BMW,1998,2,8093
R 1100 RS   (1997-2008),BMW,1998,2,8078
R 1100 RT   (1996-2002),BMW,1998,2,1907
R 1100 S   (1998-2007),BMW,1998,2,4247
R 1200 C Classic   (1998-2004),BMW,1998,2,8401
R 1200 C Independent   (1997-2000),BMW,1998,2,8799
R 1200 LT   (1998-2004),BMW,1998,2,8418
R 1200 RT   (1997-2004),BMW,1998,2,2274
R 1200 S   (1997-2006),BMW,1998,2,3576
R 850 R   (1997-2002),BMW,1998,2,10852
F 650   (1997-2008),BMW,1999,2,9033
F 650 FL   (1997-2008),BMW,1999,2,2874
F 650 ST   (1997-2001),BMW,1999,2,7366
K 1100 LT   (1997-1999),BMW,1999,2,5314
K 1100 LT High Line   (1997-1999),BMW,1999,2,4616
K 1100 LT Sidecar   (1997-1999),BMW,1999,2,2089
K 1200 LT   (1999-2009),BMW,1999,2,4300
K 1200 RS   (1999-2009),BMW,1999,2,3949
K 750   (1986-1999),BMW,1999,2,8662
R 100 R   (1992-1999),BMW,1999,2,7784
R 1100 GS   (1997-1999),BMW,1999,2,4345
R 1100 R   (1997-2008),BMW,1999,2,5309
R 1100 RS   (1997-2008),BMW,1999,2,5381
R 1100 RT   (1996-2002),BMW,1999,2,5836
R 1100 S   (1998-2007),BMW,1999,2,3503
R 1200 C Classic   (1998-2004),BMW,1999,2,2353
R 1200 C Independent   (1997-2000),BMW,1999,2,5846
R 1200 LT   (1998-2004),BMW,1999,2,8324
R 1200 RT   (1997-2004),BMW,1999,2,3811
R 1200 S   (1997-2006),BMW,1999,2,6142
R 850 C Classic   (1999-2001),BMW,1999,2,10171
R 850 GS   (1999-2002),BMW,1999,2,9206
R 850 R   (1997-2002),BMW,1999,2,3050
C1 125   (2000-2003),BMW,2000,2,7843
C1 125 Executive   (2000-2003),BMW,2000,2,2830
C1 125 Family's Friend   (2000-2003),BMW,2000,2,9162
F 650   (1997-2008),BMW,2000,2,5689
F 650 FL   (1997-2008),BMW,2000,2,2019
F 650 ST   (1997-2001),BMW,2000,2,3363
F 650 ST Strada   (2000-2002),BMW,2000,2,10346
K 1200 LT   (1999-2009),BMW,2000,2,8268
K 1200 RS   (1999-2009),BMW,2000,2,5346
R 1100 R   (1997-2008),BMW,2000,2,8168
R 1100 RS   (1997-2008),BMW,2000,2,7666
R 1100 RT   (1996-2002),BMW,2000,2,5390
R 1100 S   (1998-2007),BMW,2000,2,6879
R 1150 GS   (2000-2006),BMW,2000,2,5611
R 1200 C   (2000-2007),BMW,2000,2,6699
R 1200 C Classic   (1998-2004),BMW,2000,2,10494
R 1200 C Independent   (1997-2000),BMW,2000,2,7416
R 1200 C Independent   (2000-2004),BMW,2000,2,10818
R 1200 LT   (1998-2004),BMW,2000,2,2844
R 1200 RT   (1997-2004),BMW,2000,2,3883
R 1200 S   (1997-2006),BMW,2000,2,7655
R 850 C   (2000-2007),BMW,2000,2,5616
R 850 C Classic   (1999-2001),BMW,2000,2,2059
R 850 GS   (1999-2002),BMW,2000,2,6940
R 850 R   (1997-2002),BMW,2000,2,10682
R 850 RT   (2000-2003),BMW,2000,2,2893
C1 125   (2000-2003),BMW,2001,2,3007
C1 125 Executive   (2000-2003),BMW,2001,2,4857
C1 125 Family's Friend   (2000-2003),BMW,2001,2,10071
C1 200 Básico   (2001-2003),BMW,2001,2,2734
C1 200 Executive   (2001-2003),BMW,2001,2,3756
C1 200 Family's Friend   (2001-2003),BMW,2001,2,7006
F 650   (1997-2008),BMW,2001,2,9215
F 650 FL   (1997-2008),BMW,2001,2,10319
F 650 ST   (1997-2001),BMW,2001,2,4396
F 650 ST Strada   (2000-2002),BMW,2001,2,3960
K 1200 LT   (1999-2009),BMW,2001,2,4665
K 1200 RS   (1999-2009),BMW,2001,2,1738
R 1100 R   (1997-2008),BMW,2001,2,7588
R 1100 RS   (1997-2008),BMW,2001,2,9369
R 1100 RT   (1996-2002),BMW,2001,2,3147
R 1100 S   (1998-2007),BMW,2001,2,9216
R 1150 GS   (2000-2006),BMW,2001,2,2748
R 1150 R   (2001-2007),BMW,2001,2,10440
R 1150 RT   (2001-2006),BMW,2001,2,3276
R 1200 C   (2000-2007),BMW,2001,2,10705
R 1200 C Classic   (1998-2004),BMW,2001,2,8712
R 1200 C Independent   (2000-2004),BMW,2001,2,10011
R 1200 LT   (1998-2004),BMW,2001,2,6397
R 1200 RT   (1997-2004),BMW,2001,2,4475
R 1200 S   (1997-2006),BMW,2001,2,8069
R 850 C   (2000-2007),BMW,2001,2,3771
R 850 C Classic   (1999-2001),BMW,2001,2,2713
R 850 GS   (1999-2002),BMW,2001,2,8493
R 850 R   (1997-2002),BMW,2001,2,7095
R 850 RT   (2000-2003),BMW,2001,2,8916
C1 125   (2000-2003),BMW,2002,2,5739
C1 125 Executive   (2000-2003),BMW,2002,2,10172
C1 125 Family's Friend   (2000-2003),BMW,2002,2,6790
C1 200 Básico   (2001-2003),BMW,2002,2,6023
C1 200 Executive   (2001-2003),BMW,2002,2,10356
C1 200 Family's Friend   (2001-2003),BMW,2002,2,1535
F 650   (1997-2008),BMW,2002,2,5451
F 650 CS Scarver   (2002-2007),BMW,2002,2,7347
F 650 FL   (1997-2008),BMW,2002,2,5946
F 650 ST Strada   (2000-2002),BMW,2002,2,4212
K 1200 LT   (1999-2009),BMW,2002,2,7045
K 1200 RS   (1999-2009),BMW,2002,2,4835
R 1100 R   (1997-2008),BMW,2002,2,4390
R 1100 RS   (1997-2008),BMW,2002,2,6252
R 1100 RT   (1996-2002),BMW,2002,2,2223
R 1100 S   (1998-2007),BMW,2002,2,4994
R 1150 GS   (2000-2006),BMW,2002,2,9562
R 1150 R   (2001-2007),BMW,2002,2,10852
R 1150 RS   (2002-2006),BMW,2002,2,8927
R 1150 RT   (2001-2006),BMW,2002,2,1900
R 1200 C   (2000-2007),BMW,2002,2,10844
R 1200 C Classic   (1998-2004),BMW,2002,2,4235
R 1200 C Independent   (2000-2004),BMW,2002,2,9667
R 1200 CL   (2002-2004),BMW,2002,2,7333
R 1200 LT   (1998-2004),BMW,2002,2,3353
R 1200 RT   (1997-2004),BMW,2002,2,9605
R 1200 S   (1997-2006),BMW,2002,2,7332
R 850 C   (2000-2007),BMW,2002,2,2277
R 850 GS   (1999-2002),BMW,2002,2,2078
R 850 R   (1997-2002),BMW,2002,2,5035
R 850 R   (2002-2009),BMW,2002,2,6486
R 850 RT   (2000-2003),BMW,2002,2,9775
C1 125   (2000-2003),BMW,2003,2,6251
C1 125 Executive   (2000-2003),BMW,2003,2,1867
C1 125 Family's Friend   (2000-2003),BMW,2003,2,10363
C1 200 Básico   (2001-2003),BMW,2003,2,10753
C1 200 Executive   (2001-2003),BMW,2003,2,4253
C1 200 Family's Friend   (2001-2003),BMW,2003,2,2328
F 650   (1997-2008),BMW,2003,2,7161
F 650 CS   (2003-2005),BMW,2003,2,7535
F 650 CS Scarver   (2002-2007),BMW,2003,2,4096
F 650 FL   (1997-2008),BMW,2003,2,7553
K 1200 GT   (2003-2009),BMW,2003,2,6732
K 1200 LT   (1999-2009),BMW,2003,2,8240
K 1200 RS   (1999-2009),BMW,2003,2,3775
R 1100 R   (1997-2008),BMW,2003,2,1504
R 1100 RS   (1997-2008),BMW,2003,2,3730
R 1100 S   (1998-2007),BMW,2003,2,3757
R 1150 GS   (2000-2006),BMW,2003,2,9687
R 1150 R   (2001-2007),BMW,2003,2,7999
R 1150 RS   (2002-2006),BMW,2003,2,2682
R 1150 RT   (2001-2006),BMW,2003,2,4421
R 1200 C   (2000-2007),BMW,2003,2,4588
R 1200 C Classic   (1998-2004),BMW,2003,2,5258
R 1200 C Independent   (2000-2004),BMW,2003,2,6211
R 1200 CL   (2002-2004),BMW,2003,2,9648
R 1200 LT   (1998-2004),BMW,2003,2,3637
R 1200 RT   (1997-2004),BMW,2003,2,5364
R 1200 S   (1997-2006),BMW,2003,2,7617
R 850 C   (2000-2007),BMW,2003,2,3992
R 850 R   (2002-2009),BMW,2003,2,2569
R 850 RT   (2000-2003),BMW,2003,2,8633
F 650   (1997-2008),BMW,2004,2,8146
F 650 CS   (2003-2005),BMW,2004,2,6773
F 650 CS Scarver   (2002-2007),BMW,2004,2,3678
F 650 FL   (1997-2008),BMW,2004,2,5368
F 650 GS   (2004-2007),BMW,2004,2,4468
F 650 GS Dakar   (2004-2009),BMW,2004,2,4385
K 1200 GT   (2003-2009),BMW,2004,2,9174
K 1200 LT   (1999-2009),BMW,2004,2,1590
K 1200 RS   (1999-2009),BMW,2004,2,10946
R 1100 R   (1997-2008),BMW,2004,2,10761
R 1100 RS   (1997-2008),BMW,2004,2,1536
R 1100 S   (1998-2007),BMW,2004,2,8288
R 1150 Boxer Cup   (2004-2005),BMW,2004,2,1665
R 1150 GS   (2000-2006),BMW,2004,2,3365
R 1150 GS Adventure   (2004-2006),BMW,2004,2,6315
R 1150 R   (2001-2007),BMW,2004,2,9644
R 1150 R Rockster   (2004-2008),BMW,2004,2,10197
R 1150 RS   (2002-2006),BMW,2004,2,5915
R 1150 RT   (2001-2006),BMW,2004,2,1615
R 1200 C   (2000-2007),BMW,2004,2,5787
R 1200 C Classic   (1998-2004),BMW,2004,2,10164
R 1200 C Independent   (2000-2004),BMW,2004,2,5268
R 1200 C Montauk   (2004-2008),BMW,2004,2,7296
R 1200 CL   (2002-2004),BMW,2004,2,7811
R 1200 GS   (2004-2007),BMW,2004,2,10005
R 1200 LT   (1998-2004),BMW,2004,2,8139
R 1200 RT   (1997-2004),BMW,2004,2,4138
R 1200 S   (1997-2006),BMW,2004,2,3355
R 850 C   (2000-2007),BMW,2004,2,9565
R 850 R   (2002-2009),BMW,2004,2,3987
F 650   (1997-2008),BMW,2005,2,8964
F 650 CS   (2003-2005),BMW,2005,2,3703
F 650 CS Scarver   (2002-2007),BMW,2005,2,3680
F 650 FL   (1997-2008),BMW,2005,2,6696
F 650 GS   (2004-2007),BMW,2005,2,7530
F 650 GS Dakar   (2004-2009),BMW,2005,2,10899
K 1200 GT   (2003-2009),BMW,2005,2,6597
K 1200 LT   (1999-2009),BMW,2005,2,3034
K 1200 R   (2005-2009),BMW,2005,2,1535
K 1200 RS   (1999-2009),BMW,2005,2,10873
K 1200 S   (2005-2009),BMW,2005,2,10660
R 1100 R   (1997-2008),BMW,2005,2,9569
R 1100 RS   (1997-2008),BMW,2005,2,10680
R 1100 S   (1998-2007),BMW,2005,2,4786
R 1150 Boxer Cup   (2004-2005),BMW,2005,2,4591
R 1150 GS   (2000-2006),BMW,2005,2,4205
R 1150 GS Adventure   (2004-2006),BMW,2005,2,5841
R 1150 R   (2001-2007),BMW,2005,2,9205
R 1150 R Rockster   (2004-2008),BMW,2005,2,6549
R 1150 RS   (2002-2006),BMW,2005,2,10660
R 1150 RT   (2001-2006),BMW,2005,2,2809
R 1200 C   (2000-2007),BMW,2005,2,6522
R 1200 C Montauk   (2004-2008),BMW,2005,2,6028
R 1200 GS   (2004-2007),BMW,2005,2,2930
R 1200 RS   (2005-2008),BMW,2005,2,7540
R 1200 RT 110cv   (2005-2009),BMW,2005,2,4032
R 1200 RT 98cv   (2005-2009),BMW,2005,2,8449
R 1200 S   (1997-2006),BMW,2005,2,5633
R 1200 ST   (2005-2010),BMW,2005,2,8535
R 850 C   (2000-2007),BMW,2005,2,9603
R 850 R   (2002-2009),BMW,2005,2,7285
F 650   (1997-2008),BMW,2006,2,9413
F 650 CS Scarver   (2002-2007),BMW,2006,2,5563
F 650 FL   (1997-2008),BMW,2006,2,6892
F 650 GS   (2004-2007),BMW,2006,2,9457
F 650 GS Dakar   (2004-2009),BMW,2006,2,10029
F 800 S   (2006-2012),BMW,2006,2,9239
F 800 ST   (2006-2010),BMW,2006,2,8528
HP2 Enduro   (2006-2009),BMW,2006,2,8896
K 1200 GT   (2003-2009),BMW,2006,2,8109
K 1200 LT   (1999-2009),BMW,2006,2,9856
K 1200 R   (2005-2009),BMW,2006,2,4386
K 1200 RS   (1999-2009),BMW,2006,2,3228
K 1200 S   (2005-2009),BMW,2006,2,5211
R 1100 R   (1997-2008),BMW,2006,2,5691
R 1100 RS   (1997-2008),BMW,2006,2,8947
R 1100 S   (1998-2007),BMW,2006,2,4415
R 1150 GS   (2000-2006),BMW,2006,2,10912
R 1150 GS Adventure   (2004-2006),BMW,2006,2,3159
R 1150 R   (2001-2007),BMW,2006,2,6877
R 1150 R Rockster   (2004-2008),BMW,2006,2,6900
R 1150 RS   (2002-2006),BMW,2006,2,6837
R 1150 RT   (2001-2006),BMW,2006,2,5899
R 1200 C   (2000-2007),BMW,2006,2,2939
R 1200 C Montauk   (2004-2008),BMW,2006,2,1857
R 1200 GS   (2004-2007),BMW,2006,2,1730
R 1200 GS Adventure 105cv   (2006-2009),BMW,2006,2,5821
R 1200 GS Adventure 98cv   (2006-2009),BMW,2006,2,9401
R 1200 RS   (2005-2008),BMW,2006,2,3956
R 1200 RT 110cv   (2005-2009),BMW,2006,2,9841
R 1200 RT 98cv   (2005-2009),BMW,2006,2,7409
R 1200 S   (1997-2006),BMW,2006,2,3483
R 1200 ST   (2005-2010),BMW,2006,2,3203
R 850 C   (2000-2007),BMW,2006,2,8296
R 850 R   (2002-2009),BMW,2006,2,4825
F 650   (1997-2008),BMW,2007,2,8089
F 650 CS Scarver   (2002-2007),BMW,2007,2,2176
F 650 FL   (1997-2008),BMW,2007,2,9399
F 650 GS   (2004-2007),BMW,2007,2,2314
